Gene,ENS ref,refseq match,gene symbol,# nucleotides,log likelihood dN/dS >= 0,log likelihood dN/dS=1,p-value for likelihood ratio test of dN/dS=1 versus dN/dS > 1.  Test not performed for data genes with 2 mutations or less or less than 50 codons. p=1 indicates that dN/dS < 1.,included in restrictive data set?
HC2712,,,,183,-243.822,-244.965,1,no
HC2713,,,,51,,,,no
HC2714,,,FLJ25351,501,-694.761,-695.088,1,yes
HC2715,ENSG00000144451,NM_024532,,462,-649.317,-651.264,1,yes
HC2716,ENSG00000164604,NM_018970,GPR85,1092,-1493.86,-1496.24,,yes
HC2717,,XM_035405,,870,-1163.65,-1163.65,,no
HC2718,,,,282,-381.609,-381.609,,no
HC2719,ENSG00000132321,NM_024726,FLJ22527,1110,-1526.06,-1526.07,1,yes
HC2720,ENSG00000174339,XM_068682,,714,-1017.41,-1017.57,0.338538,no
HC2721,,,PHC3,2037,-2721.95,-2721.99,0.297244,yes
HC2722,,,,174,-238.454,-238.725,,no
HC2723,ENSG00000152213,NM_138450,ARLTS1,573,-785.326,-786.739,1,yes
HC2724,,XM_291063,CCBP2,291,-398.649,-399.847,,no
HC2725,,,,816,-1173.24,-1173.3,1,no
HC2726,ENSG00000186448,NM_033210,FLJ14855,1488,-2014.2,-2014.77,1,yes
HC2727,ENSG00000179615,XM_062467,,870,-1216.19,-1216.21,1,no
HC2728,ENSG00000182263,NM_018086,FIGN,1311,-1808.85,-1812.35,1,yes
HC2729,,,,156,-221.278,-221.486,,no
HC2730,,,,129,,,,no
HC2731,,,,618,-909.589,-910.496,1,no
HC2732,,,,15,,,,no
HC2733,ENSG00000148948,XM_045271,,1572,-2125.32,-2127.72,,no
HC2734,,,,234,-322.959,-323.296,,no
HC2735,ENSG00000184530,XM_371847,,645,-880.924,-886.363,1,no
HC2736,,,,282,-391.877,-391.906,0.500496,no
HC2737,ENSG00000149639,NM_199181,,120,,,,yes
HC2738,ENSG00000102055,NM_025210,I-4,189,-257.677,-258.031,,yes
HC2739,,,,627,-822.64,-823.053,,no
HC2740,,,,177,-243.833,-245.101,,no
HC2741,,,,81,,,,no
HC2742,"ENSG00000129048,ENSG00000118519","NM_016557,NM_178445",,432,-577.803,-577.803,,yes
HC2743,ENSG00000180834,NM_024871,FLJ12748,195,-259.535,-259.535,,yes
HC2744,,,,471,-662.586,-662.711,0.458666,no
HC2745,,XM_089307,,84,,,,no
HC2746,,,C20orf133,114,,,,yes
HC2747,ENSG00000070729,NM_001297,CNGB1,2256,-3081.98,-3083.2,1,no
HC2748,,,,435,-598.101,-598.818,,no
HC2749,,,TIGD4,1377,-1820.47,-1821.16,1,yes
HC2750,,XM_378535,,123,,,,no
HC2751,ENSG00000187975,XM_033704,,354,-466.858,-466.858,,no
HC2752,,NM_005684,GPR52,837,-1135.86,-1136.8,1,yes
HC2753,ENSG00000105954,NM_022150,RFRP,342,-456.941,-457.481,,yes
HC2754,,,,294,-414.09,-414.09,1,no
HC2755,,,MMP15,855,-1138.73,-1144.36,1,yes
HC2756,,,,204,-294.629,-294.64,1,no
HC2757,,,,141,,,,no
HC2758,,,FLJ35725,660,-931.779,-933.598,0.068121,yes
HC2759,ENSG00000070761,,GTL3,486,-677.246,-677.343,0.496925,yes
HC2760,ENSG00000174996,NM_022822,,1590,-2097.2,-2105.84,1,yes
HC2761,,NM_138484,LOC151648,174,-236.813,-237.116,,yes
HC2762,ENSG00000100583,,,1923,-2615.56,-2617.05,0.038839,no
HC2763,ENSG00000070770,,CSNK2A2,933,-1243.61,-1244.81,,yes
HC2764,,,,255,-345.308,-345.308,,no
HC2765,,,,156,-220.072,-220.43,1,no
HC2766,ENSG00000103021,NM_014157,HSPC065,987,-1338.15,-1338.15,0.540134,yes
HC2767,,,,45,,,,no
HC2768,ENSG00000177558,NM_152481,FLJ25660,312,-392.08,-392.26,,yes
HC2769,ENSG00000140854,NM_005886,KATNB1,543,-688.5,-690.382,,yes
HC2770,,,,222,-299.941,-300.063,,no
HC2771,ENSG00000130021,NM_012080,FAM16AX,273,-374.197,-375.274,0.172629,yes
HC2772,ENSG00000143772,NM_002221,ITPKB,2073,-2854.62,-2854.83,1,yes
HC2773,,,,195,-238.338,-238.338,,no
HC2774,,,,525,-715.722,-715.993,,no
HC2775,ENSG00000130433,NM_145814,CACNG6,123,,,,yes
HC2776,,,,297,-421.063,-421.1,0.381401,no
HC2777,ENSG00000125170,NM_018110,DOK4,735,-1034.4,-1036.39,1,yes
HC2778,,,C21orf84,84,,,,no
HC2779,,,,822,-1184.23,-1184.23,0.536863,no
HC2780,ENSG00000161180,NM_152612,FLJ36046,873,-1190.7,-1191.61,1,yes
HC2781,ENSG00000169126,NM_018076,FLJ10817,537,-737.98,-738.205,1,yes
HC2782,,,,216,-299.482,-299.647,,no
HC2783,,,,207,-298.018,-299.212,0.011028,no
HC2784,,XM_373557,,333,-435.554,-435.648,,no
HC2785,,,,129,,,,no
HC2786,,,,228,-308.957,-308.957,,no
HC2787,,,,189,-252.714,-252.714,,no
HC2788,,,,153,-209.446,-209.759,,no
HC2789,,,POLR2C,822,-1140.65,-1142.01,1,yes
HC2790,,,,126,,,,no
HC2791,,,,270,-348.826,-348.826,,no
HC2792,ENSG00000101883,NM_139282,OTEX,150,-212.23,-212.514,,yes
HC2793,,XM_376018,,456,-618.291,-619.643,1,no
HC2794,ENSG00000103005,,FLJ13154,510,-680.522,-681.1,,yes
HC2795,,,,27,,,,no
HC2796,,NM_032269,DKFZp434I099,1320,-1750.56,-1754.2,1,yes
HC2797,ENSG00000176208,NM_024857,FLJ12735,1665,-2205.82,-2205.84,0.453333,yes
HC2798,,,,324,-442.653,-443.849,,no
HC2799,,"NM_052892,NM_182740",,1092,-1554.34,-1554.34,0.496619,yes
HC2800,,"NM_207407,XM_371695",,792,-1074.08,-1075.39,1,yes
HC2801,,,,474,-645.345,-645.575,,yes
HC2802,,,,744,-1064.57,-1064.57,1,no
HC2803,ENSG00000166189,NM_024747,HPS6,753,-1013.86,-1017.07,1,yes
HC2804,,,,387,-569.122,-569.626,0.225269,no
HC2805,ENSG00000140067,NM_138344,LOC90050,954,-1297.35,-1297.93,1,yes
HC2806,,,,105,,,,no
HC2807,,,,201,-287.227,-287.265,0.362959,no
HC2808,,,,273,-369.784,-371.051,,yes
HC2809,,,,108,,,,no
HC2810,,,,138,,,,no
HC2811,,,,129,,,,no
HC2812,,,,303,-406.129,-407.468,,yes
HC2813,,,,225,-316.717,-317.713,1,no
HC2814,,,,72,,,,no
HC2815,,,,285,-409.884,-409.905,0.590373,no
HC2816,ENSG00000005194,NM_020313,LOC57019,711,-975.737,-979.229,1,yes
HC2817,,,,270,-388.482,-388.484,1,no
HC2818,ENSG00000150773,NM_138789,LOC120379,696,-930.951,-931.17,,yes
HC2819,,,,108,,,,no
HC2820,,,,141,,,,no
HC2821,,,,306,-440.402,-441.088,1,no
HC2822,,,,447,-641.809,-642.088,0.357287,no
HC2823,,XM_378804,,285,-405.36,-405.393,0.451402,no
HC2824,,,,153,-204.088,-204.088,,no
HC2825,ENSG00000133872,NM_016127,MGC8721,978,-1371.17,-1371.36,1,yes
HC2826,,,,87,,,,no
HC2827,ENSG00000104671,,DCTN6,453,-610.229,-611.497,,yes
HC2828,,,FLJ36004,945,-1340.1,-1341.01,1,yes
HC2829,,,,378,-510.374,-510.732,,no
HC2830,ENSG00000139656,,MGC5590,249,-345.108,-347.742,,no
HC2831,,,,129,,,,no
HC2832,,,,366,-497.991,-498.918,0.328894,no
HC2833,ENSG00000172568,NM_001001343,,444,-597.005,-601.464,1,yes
HC2834,ENSG00000166265,NM_052954,CYYR1,459,-635.204,-635.9,,yes
HC2835,ENSG00000169871,NM_030961,,1503,-1990.57,-2010.63,1,yes
HC2836,,,,219,-317.164,-318.63,0.134474,no
HC2837,,,C21orf109,321,-450.039,-451.126,1,no
HC2838,,,,285,-388.655,-388.655,,no
HC2839,,,,1305,-1812.66,-1813.23,0.11628,yes
HC2840,,,C20orf162,1230,-1676.22,-1677.74,1,yes
HC2841,,,,162,-224.718,-225.426,,no
HC2842,,,,75,,,,no
HC2843,,,,228,-323.462,-324.526,0.283334,no
HC2844,,,,138,,,,no
HC2845,ENSG00000182012,,,204,-303.494,-304.192,1,no
HC2846,ENSG00000144130,,,666,-979.218,-981.253,0.017894,no
HC2847,,,,567,-827.751,-829.501,1,no
HC2848,,,,51,,,,no
HC2849,ENSG00000136045,NM_007062,PWP1,1017,-1360.11,-1362.7,,yes
HC2850,ENSG00000163982,NM_177998,,816,-1116.24,-1117.67,1,yes
HC2851,ENSG00000174446,NM_006049,SNAPC5,249,-317.343,-317.343,,no
HC2852,ENSG00000166704,XM_085836,,1770,-2417.04,-2423.52,1,no
HC2853,ENSG00000152475,XM_375665,,1482,-1902.3,-1907.04,1,no
HC2854,,,,129,,,,no
HC2855,ENSG00000189169,NM_198699,,288,-367.1,-370.196,1,yes
HC2856,,,,315,-430.827,-433.422,,no
HC2857,,,,480,-605.506,-605.506,,no
HC2858,,,,579,-781.042,-781.042,,no
HC2859,,,FLJ38335,795,-1096.34,-1096.37,0.392009,yes
HC2860,,,MIPOL1,96,,,,no
HC2861,,,FLJ33957,468,-638.258,-640.699,,yes
HC2862,ENSG00000118487,,,996,-1305.32,-1305.7,,no
HC2863,ENSG00000147613,NM_033126,PSKH2,687,-1014.13,-1014.31,1,yes
HC2864,,,,567,-818.926,-821.291,1,no
HC2865,,XM_370997,,153,-192.716,-192.995,,no
HC2866,,,,144,,,,no
HC2867,,,MGC17943,282,-367.765,-367.765,,yes
HC2868,,,C14orf140,627,-871.783,-871.81,0.441696,yes
HC2869,,,,180,-251.854,-252,1,no
HC2870,,,,246,-344.118,-344.707,,no
HC2871,,,,654,-926.446,-926.745,1,no
HC2872,,,,429,-599.796,-599.817,1,no
HC2873,ENSG00000138018,XM_371484,,273,-365.026,-365.026,,no
HC2874,,,FLJ22746,591,-821.284,-822.455,1,yes
HC2875,,,,504,-703.068,-704.492,0.191055,no
HC2876,,,,276,-394.077,-394.261,1,no
HC2877,ENSG00000164539,"XM_294249,XM_374600",,666,-865.833,-869.049,,no
HC2878,,,,24,,,,no
HC2879,,,,192,-281.684,-281.957,0.230074,no
HC2880,,,,294,-425.082,-425.246,1,no
HC2881,"ENSG00000185751,ENSG00000155622",NM_130777,GAGED3,330,-434.753,-435.351,,yes
HC2882,,,,339,-500.451,-503.352,0.000275,no
HC2883,,,,303,-452.623,-452.799,1,no
HC2884,,,FLJ22655,129,,,,yes
HC2885,,,,132,,,,no
HC2886,,,,285,-397.554,-397.568,1,no
HC2887,,,,36,,,,no
HC2888,,NM_017654,FLJ20073,1887,-2516.86,-2520.12,1,yes
HC2889,,,,30,,,,no
HC2890,,XM_372780,,591,-822.435,-822.447,1,no
HC2891,ENSG00000184905,NM_080390,my048,603,-777.022,-777.043,0.527581,yes
HC2892,,,,336,-471.147,-471.165,1,no
HC2893,,XM_298151,,453,-635.886,-635.892,1,no
HC2894,,,KIAA0922,318,-445.351,-445.381,0.520328,yes
HC2895,,,,192,-271.596,-271.599,1,no
HC2896,,,,108,,,,no
HC2897,,,,456,-644.486,-644.628,0.382969,no
HC2898,,,,168,-237.985,-238.591,,no
HC2899,,,,414,-577.661,-577.963,1,no
HC2900,,,,93,,,,no
HC2901,,,NAG-7,189,-261.76,-262.947,0.014435,no
HC2902,ENSG00000150275,NM_033056,PCDH15,2646,-3591.77,-3591.93,1,yes
HC2903,,,,246,-352.217,-352.223,1,no
HC2904,,,,390,-518.565,-518.759,,no
HC2905,,,,306,-441.307,-442.807,0.077924,no
HC2906,,"XM_379517,XM_380142",,651,-893.387,-893.453,0.234297,no
HC2907,ENSG00000172578,NM_130446,KLHL6,846,-1124.13,-1127.14,,yes
HC2908,ENSG00000139826,NM_032859,FLJ14906,579,-783.68,-786.483,,yes
HC2909,,,COL8A1,249,-354.061,-356.201,1,no
HC2910,,,,369,-500.998,-501.011,1,no
HC2911,ENSG00000174448,NM_139171,STARD6,222,-319.476,-319.491,1,no
HC2912,,,,255,-365.984,-367.389,0.205724,no
HC2913,ENSG00000053524,NM_015078,,2790,-3899.09,-3901.95,1,yes
HC2914,,XM_378137,,759,-1030.19,-1031.58,0.212108,no
HC2915,,,,207,-287.799,-288.053,,no
HC2916,ENSG00000177076,XM_294540,,675,-939.336,-945.951,1,no
HC2917,,,,177,-246.212,-246.93,,no
HC2918,,,,156,-215.951,-216.074,,no
HC2919,,,,261,-350.167,-350.538,,no
HC2920,,,,183,-264.287,-264.299,1,no
HC2921,ENSG00000184459,NM_174932,,234,-353.73,-354.281,0.118779,yes
HC2922,,,,321,-467.277,-468.056,1,no
HC2923,ENSG00000183034,NM_178160,,312,-410.904,-417.991,1,yes
HC2924,ENSG00000118246,NM_014929,KIAA0971,1500,-2067.53,-2067.55,1,yes
HC2925,,,,102,,,,no
HC2926,,,,384,-566.5,-567.635,0.12326,no
HC2927,,,,771,-1104.5,-1105.57,0.06304,no
HC2928,,,,120,,,,no
HC2929,,,,201,-279.601,-281.932,,no
HC2930,,,,345,-500.429,-500.453,1,no
HC2931,ENSG00000118263,NM_003709,KLF7,855,-1165.47,-1165.8,,yes
HC2932,,,,528,-720.914,-721.722,1,no
HC2933,,,,204,-306.568,-307.032,0.109456,no
HC2934,ENSG00000163118,NM_178495,,1632,-2212.71,-2212.76,1,yes
HC2935,,,,183,-253.054,-255.075,,no
HC2936,,XM_293401,,1458,-2080.68,-2081.72,1,no
HC2937,,,,198,-288.032,-289.405,0.108558,no
HC2938,,,,414,-571.987,-573.917,1,yes
HC2939,,,,174,-235.645,-236.897,,no
HC2940,,,SIAT1,228,-292.836,-295.576,,no
HC2941,ENSG00000164414,,SLC35A1,1299,-1732.78,-1733.05,,yes
HC2942,ENSG00000189156,,,282,-404.033,-405.367,0.224786,no
HC2943,,,,402,-575.664,-576.656,0.0517,no
HC2944,,,,171,-216.755,-216.755,,no
HC2945,,,,126,,,,no
HC2946,ENSG00000188411,XM_059954,,417,-595.547,-598.115,0.044333,no
HC2947,ENSG00000177291,NM_153368,CX40.1,537,-722.095,-723.956,1,yes
HC2948,,,,273,-362.351,-365.014,,no
HC2949,,,,36,,,,no
HC2950,,,,795,-1156.21,-1157.97,1,no
HC2951,ENSG00000087116,NM_014244,ADAMTS2,1614,-2171.34,-2182.11,1,yes
HC2952,ENSG00000140238,,,174,-236.239,-238.837,,no
HC2953,ENSG00000165799,NM_032572,RNASE7,456,-637.853,-640.115,1,yes
HC2954,ENSG00000120705,NM_004730,ETF1,1302,-1724.37,-1724.37,,yes
HC2955,,,,93,,,,no
HC2956,ENSG00000188523,XM_372150,,297,-397.884,-401.649,1,yes
HC2957,,,,723,-943.368,-945.132,1,yes
HC2958,,"XM_379694,XM_379736",,240,-347.724,-347.87,0.362939,no
HC2959,,,SLC23A1,966,-1341.82,-1342.1,0.303851,yes
HC2960,,NM_033225,CSMD1,198,-268.274,-269.68,,yes
HC2961,,,C18orf2,201,-270.083,-270.083,,yes
HC2962,ENSG00000175426,NM_000439,PCSK1,1701,-2328.9,-2330.68,1,yes
HC2963,,,,408,-585.631,-587.656,0.10366,no
HC2964,,,,255,-351.489,-351.629,,no
HC2965,,,,210,-291.28,-293.724,,no
HC2966,,,,81,,,,no
HC2967,ENSG00000147676,NM_052886,MAL2,396,-557.333,-557.589,1,yes
HC2968,,,,1005,-1483.17,-1483.66,0.156958,no
HC2969,,NM_173856,,849,-1208.92,-1209.24,0.289949,yes
HC2970,,,,240,-322.698,-322.698,,no
HC2971,,,,168,-230.153,-231.005,0.32892,no
HC2972,ENSG00000173464,NM_145250,C14orf6,588,-830.02,-830.081,1,yes
HC2973,,,,513,-743.715,-743.768,1,no
HC2974,,,,1026,-1488.03,-1488.24,1,no
HC2975,,,,6,,,,no
HC2976,,,,1059,-1549.12,-1551.45,0.024408,no
HC2977,,XM_378226,,333,-472.858,-474.128,1,no
HC2978,,,,24,,,,no
HC2979,,,,375,-489.191,-489.193,1,no
HC2980,,,,1167,-1572.96,-1575.06,1,no
HC2981,ENSG00000130224,NM_020871,KIAA1495,567,-768.041,-768.374,,yes
HC2982,,,FLJ21135,189,-235.662,-235.662,,yes
HC2983,ENSG00000136514,NM_022147,IFRG28,699,-985.209,-986.945,1,yes
HC2984,,,MGC35450,681,-879.936,-883.037,1,yes
HC2985,,,,423,-611.158,-612.867,1,no
HC2986,,,,45,,,,no
HC2987,,,,351,-493.381,-493.391,1,no
HC2988,,,,333,-475.638,-475.659,1,no
HC2989,,,,357,-505.965,-507.717,1,no
HC2990,ENSG00000164588,NM_021072,,1218,-1675.28,-1679.97,1,yes
HC2991,,,,27,,,,no
HC2992,,,,150,-210.472,-210.817,,no
HC2993,,,,204,-264.788,-264.788,,no
HC2994,ENSG00000148655,NM_032024,,75,,,,yes
HC2995,,NM_052947,HAK,3741,-5249.07,-5249.45,1,yes
HC2996,ENSG00000189216,NM_006737,KIR3DL2,414,-619.114,-619.114,0.520184,yes
HC2997,ENSG00000114125,NM_014245,RNF7,162,-213.575,-213.575,,yes
HC2998,,,,294,-412.828,-414.646,0,no
HC2999,,,,21,,,,no
HC3000,,XM_172341,,3294,-4533.84,-4537.76,1,no
HC3001,ENSG00000170727,NM_015201,BOP1,459,-596.506,-598.033,1,yes
HC3002,,,,300,-438.366,-438.497,1,no
HC3003,,,,1371,-1940,-1940.37,1,no
HC3004,,,,66,,,,no
HC3005,,,,135,,,,yes
HC3006,,,,279,-386.874,-387.026,,no
HC3007,,,,222,-318.922,-318.924,1,no
HC3008,ENSG00000144647,NM_032806,FLJ14566,672,-899.326,-903.786,1,yes
HC3009,,,,198,-268.596,-268.902,,no
HC3010,,,,705,-1001.98,-1002.75,1,no
HC3011,,,,156,-219.614,-220.285,,no
HC3012,,,,453,-632.779,-632.953,,no
HC3013,,,,354,-507.99,-509.129,1,no
HC3014,ENSG00000124243,NM_198799,BCAS4,273,-364.305,-365.675,,yes
HC3015,ENSG00000164151,XM_029101,,3777,-5230.6,-5238.58,1,no
HC3016,,,,255,-365.404,-365.418,0.626595,no
HC3017,,,,480,-671.764,-672.839,0.262244,no
HC3018,,,,270,-381.154,-381.845,,no
HC3019,,,,204,-271.441,-271.8,,no
HC3020,,,SH3YL1,528,-717.942,-719.092,1,yes
HC3021,,,,330,-475.529,-476.962,0.181673,no
HC3022,ENSG00000174898,NM_152784,,474,-656.332,-656.383,1,no
HC3023,,,,384,-544.215,-544.692,0.109187,no
HC3024,ENSG00000171045,NM_145003,,120,,,,yes
HC3025,ENSG00000183770,NM_023067,FOXL2,162,-192.552,-193.888,,yes
HC3026,ENSG00000168389,NM_032793,FLJ14490,1386,-1899.9,-1903.98,1,yes
HC3027,,,,243,-329.558,-329.558,,no
HC3028,,,,84,,,,no
HC3029,,,,6,,,,no
HC3030,,,,27,,,,no
HC3031,ENSG00000178743,,,315,-465.584,-466.219,1,no
HC3032,,"NM_207358,XM_376033",,114,,,,yes
HC3033,,,,408,-562.13,-562.769,,no
HC3034,,,,78,,,,no
HC3035,,XM_029323,,339,-451.031,-451.487,,no
HC3036,ENSG00000187068,XM_211871,,486,-678.043,-684.277,1,no
HC3037,,,,342,-442.476,-442.494,1,yes
HC3038,,,,222,-320.011,-320.02,1,no
HC3039,ENSG00000150667,NM_152597,,483,-637.645,-637.717,1,yes
HC3040,,,,363,-520.314,-520.527,1,no
HC3041,ENSG00000172322,NM_138337,CLL-1,630,-880.726,-882.668,0.109896,yes
HC3042,,,,159,-215.686,-215.686,,no
HC3043,ENSG00000122043,,,264,-373.598,-377.504,1,no
HC3044,,XM_378090,,270,-365.381,-366.243,,no
HC3045,,,,51,,,,no
HC3046,,,,123,,,,no
HC3047,ENSG00000165388,NM_153034,FLJ32104,771,-1076.81,-1077.73,1,yes
HC3048,,,,330,-449.356,-450.087,,no
HC3049,,,,318,-462.379,-463.386,1,no
HC3050,,,,189,-252.308,-252.607,,no
HC3051,,XM_374694,,324,-413.773,-414.569,0.32892,no
HC3052,,,LOC202865,0,,,,no
HC3053,,,,228,-316.648,-316.836,,no
HC3054,,,,96,,,,no
HC3055,,,,279,-373.153,-375.732,,no
HC3056,ENSG00000145545,NM_001047,SRD5A1,480,-651.772,-653.045,,yes
HC3057,,,,372,-540.775,-541.303,1,no
HC3058,,,,117,,,,no
HC3059,,,,96,,,,no
HC3060,,,,207,-279.755,-280.062,,no
HC3061,,,,132,,,,no
HC3062,,,,342,-472.959,-474.111,,no
HC3063,,,,30,,,,no
HC3064,,,,270,-391.343,-391.434,0.504179,no
HC3065,,XM_042661,,456,-603.75,-605.022,,no
HC3066,ENSG00000169851,NM_002589,PCDH7,2013,-2718.71,-2721.5,1,yes
HC3067,ENSG00000133561,NM_024711,hIAN2,561,-738.076,-739.22,,yes
HC3068,,,,45,,,,no
HC3069,,,,117,,,,no
HC3070,,,,18,,,,no
HC3071,,,,300,-431.226,-431.337,1,no
HC3072,ENSG00000145414,NM_138386,LOC92345,1020,-1383.65,-1385.4,1,yes
HC3073,,,CFLAR,1164,-1558.94,-1558.94,,yes
HC3074,,,,189,-265.518,-265.811,,no
HC3075,,,,243,-337.173,-337.868,,no
HC3076,,,,186,-246.887,-246.887,,no
HC3077,,,,534,-714.856,-716.159,,yes
HC3078,ENSG00000166676,XM_208859,,102,,,,no
HC3079,ENSG00000115942,NM_006190,ORC2L,1437,-1947.16,-1947.23,1,yes
HC3080,,,,222,-314.699,-314.7,0.331704,no
HC3081,,,CLK1,864,-1153.27,-1154.47,1,yes
HC3082,,,,228,-337.907,-339.605,0.075919,no
HC3083,ENSG00000124610,NM_005325,HIST1H1A,393,-517.23,-517.577,0.165613,yes
HC3084,,,,216,-307.737,-308.455,1,no
HC3085,ENSG00000185823,NM_018958,C15orf2,3399,-4754.25,-4757.3,0.007529,yes
HC3086,,,,78,,,,no
HC3087,ENSG00000138356,NM_001159,AOX1,3141,-4385.68,-4387.66,1,yes
HC3088,ENSG00000175989,NM_152314,MGC34830,309,-421.956,-422.382,,yes
HC3089,ENSG00000189045,XM_373090,,219,-305.362,-305.963,,no
HC3090,ENSG00000163825,NM_031440,TMEM7,606,-828.102,-828.364,,yes
HC3091,ENSG00000115934,"NM_032472,NM_130906,NM_131916",PPIL3,189,-259.118,-260.157,1,yes
HC3092,,,,138,,,,no
HC3093,,XM_372755,,879,-1150.17,-1159.38,1,no
HC3094,,,,138,,,,no
HC3095,ENSG00000180488,NM_198549,,762,-1023.64,-1026.37,,yes
HC3096,,,FLJ14681,762,-1024.66,-1024.69,1,yes
HC3097,ENSG00000181894,NM_024620,,1611,-2214.56,-2215.88,1,yes
HC3098,ENSG00000152487,NM_182543,,1125,-1556.05,-1559.08,1,yes
HC3099,,,,198,-266.728,-267.052,,no
HC3100,ENSG00000152954,NM_080723,VMP,432,-603.392,-606.836,1,yes
HC3101,ENSG00000168404,NM_152649,FLJ34389,699,-931.501,-932.775,,yes
HC3102,,,NIF3L1,864,-1200.18,-1200.29,1,yes
HC3103,,,,375,-506.83,-507.132,,no
HC3104,,,HSA404617,201,-290.364,-292.239,0.031119,yes
HC3105,,,,198,-266.443,-267.664,,no
HC3106,,,,273,-381.813,-381.989,,no
HC3107,ENSG00000174529,NM_203376,,141,,,,yes
HC3108,,,DEFB126,252,-384.891,-385.983,1,yes
HC3109,,,FLJ31322,525,-733.343,-733.827,1,yes
HC3110,,,,195,-247.248,-247.528,,yes
HC3111,ENSG00000189381,,,252,-355.559,-355.737,,no
HC3112,,XM_378921,,279,-399.642,-399.644,1,no
HC3113,,,,165,-243.359,-243.365,0.634663,no
HC3114,,,,0,,,,yes
HC3115,ENSG00000121314,NM_023918,TAS2R8,783,-1037.74,-1037.92,,yes
HC3116,,,,60,,,,no
HC3117,,,HN1L,309,-458.858,-458.861,0.527476,no
HC3118,,,,2703,-3706.16,-3713.21,1,no
HC3119,,,,87,,,,no
HC3120,ENSG00000167415,,MGC15476,237,-305.95,-305.95,,no
HC3121,,,,1041,-1447.68,-1448.35,0.140006,no
HC3122,,,,282,-394.087,-394.187,0.230154,no
HC3123,,,,270,-386.867,-386.887,0.603962,no
HC3124,ENSG00000154518,NM_001689,ATP5G3,423,-572.91,-573.282,,yes
HC3125,ENSG00000179057,NM_173588,,222,-274.161,-274.161,,yes
HC3126,,,CHN1,903,-1231.81,-1232.7,1,yes
HC3127,,,FLJ33641,471,-655.125,-655.63,1,yes
HC3128,,XM_209363,NSFL1C,939,-1321.62,-1322.76,1,no
HC3129,,,,300,-415.465,-416.367,1,no
HC3130,,,,540,-749.19,-749.406,,no
HC3131,,,,177,-245.77,-246.322,,no
HC3132,,,,1641,-2325.44,-2327.34,0.039077,no
HC3133,,,MGC42090,252,-365.637,-371.924,1,yes
HC3134,,,,6,,,,no
HC3135,,,,150,-207.573,-207.728,,no
HC3136,ENSG00000175874,NM_153836,CREG2,168,-223.97,-223.97,,yes
HC3137,,,,339,-484.541,-484.569,0.521105,no
HC3138,,,,111,,,,no
HC3139,ENSG00000108784,NM_000263,NAGLU,456,-621.22,-621.291,1,yes
HC3140,ENSG00000176401,NM_152361,FLJ38944,207,-272.672,-272.672,,yes
HC3141,,XM_297205,,576,-799.48,-799.489,1,no
HC3142,,,,396,-544.668,-545.355,,no
HC3143,,XM_373668,,51,,,,no
HC3144,ENSG00000163129,NM_025008,FLJ13544,417,-588.456,-588.756,1,yes
HC3145,,,ATP6V0A1,1884,-2559.41,-2563.21,1,yes
HC3146,ENSG00000169064,NM_024687,FLJ23049,1545,-2138.78,-2139.09,1,yes
HC3147,ENSG00000174776,NM_178824,,345,-478.918,-478.988,1,yes
HC3148,ENSG00000184357,NM_005322,HIST1H1B,672,-839.49,-840.25,1,yes
HC3149,ENSG00000133142,NM_024863,FLJ21174,558,-705.848,-706.197,1,yes
HC3150,,,FLJ25157,120,,,,no
HC3151,,,MGC35338,312,-423.369,-423.47,1,yes
HC3152,ENSG00000148841,NM_033397,,711,-887.065,-888.932,,yes
HC3153,,,,309,-444.429,-446.047,0.003506,no
HC3154,,,,54,,,,no
HC3155,ENSG00000089558,NM_012285,KCNH4,1380,-1896.87,-1899.1,1,yes
HC3156,ENSG00000111536,NM_018402,IL26,468,-621.699,-621.699,,yes
HC3157,ENSG00000186007,"NM_001001552,XM_371338",,174,-252.102,-252.935,1,yes
HC3158,,,,138,,,,no
HC3159,ENSG00000184507,XM_375187,,1788,-2500.85,-2500.86,0.412348,no
HC3160,,,,210,-304.696,-304.71,0.626587,no
HC3161,ENSG00000120664,XM_370721,,303,-416.343,-416.65,,no
HC3162,,,,90,,,,no
HC3163,ENSG00000127152,"NM_022898,NM_138576",BCL11B,327,-437.693,-440.634,,yes
HC3164,ENSG00000151023,NM_145010,MGC26778,324,-427.222,-427.422,,yes
HC3165,,,LOC127255,570,-756.364,-756.933,,yes
HC3166,,,,225,-292.012,-292.012,,yes
HC3167,ENSG00000170925,NM_031273,TEX13B,522,-710.87,-711.273,,yes
HC3168,,"NM_001847,NM_033641",COL4A6,51,,,,yes
HC3169,,,HCRT,18,,,,no
HC3170,,NM_018159,NUDT11,486,-643.996,-644.536,,no
HC3171,,,,141,,,,no
HC3172,ENSG00000159752,,,57,,,,no
HC3173,,XM_372764,,660,-901.345,-901.355,1,no
HC3174,,,,792,-969.05,-973.177,1,yes
HC3175,,,,207,-278.293,-278.631,,no
HC3176,,,FLJ35630,2007,-2815.47,-2821.83,1,yes
HC3177,,,,186,-249.952,-251.012,,no
HC3178,,,,252,-350.771,-351.16,,no
HC3179,,,,270,-373.718,-373.895,,no
HC3180,ENSG00000186493,NM_178569,,87,,,,yes
HC3181,,,,120,,,,no
HC3182,,,,204,-271.666,-271.666,,yes
HC3183,,,,522,-737.04,-738.076,1,no
