Ensembl Gene ID	Ensembl Protein Family ID(s)
ENSG00000232774	ENSFM00640001120038
ENSG00000213494	ENSFM00570000858561
ENSG00000152133	ENSFM00250000006251
ENSG00000168530	ENSFM00250000000438
ENSG00000157890	ENSFM00250000000419
ENSG00000154274	ENSFM00250000009623
ENSG00000010072	ENSFM00500000271007
ENSG00000129514	ENSFM00500000269953
ENSG00000196932	ENSFM00500000272620
ENSG00000134668	ENSFM00250000006105
ENSG00000166734	ENSFM00250000003320
ENSG00000100938	ENSFM00250000002497
ENSG00000100373	ENSFM00250000007690
ENSG00000004939	ENSFM00440000236854
ENSG00000100564	ENSFM00250000009374
ENSG00000106823	ENSFM00440000236973
ENSG00000135766	ENSFM00250000002351
ENSG00000171408	ENSFM00480000262775
ENSG00000254986	ENSFM00250000003411
ENSG00000175854	ENSFM00500000275153
ENSG00000137075	ENSFM00250000001948
ENSG00000100376	ENSFM00250000005445
ENSG00000116918	ENSFM00500000271525
ENSG00000119138	ENSFM00540000718097
ENSG00000181826	ENSFM00250000007524
ENSG00000137266	ENSFM00600000921285
ENSG00000189308	ENSFM00500000270747
ENSG00000167112	ENSFM00250000007181
ENSG00000139865	ENSFM00250000009935
ENSG00000115365	ENSFM00250000002547
ENSG00000077935	ENSFM00500000269864
ENSG00000068831	ENSFM00250000001366
ENSG00000162946	ENSFM00250000003303
ENSG00000113657	ENSFM00250000000643
ENSG00000004846	ENSFM00370000118589
ENSG00000175643	ENSFM00500000276163
ENSG00000169299	ENSFM00250000002020
ENSG00000081181	ENSFM00250000002205
ENSG00000165632	ENSFM00250000005959
ENSG00000161574	ENSFM00500000284428
ENSG00000148488	ENSFM00480000262754
ENSG00000128408	ENSFM00500000272632
ENSG00000085185	ENSFM00500000270158
ENSG00000167236	ENSFM00500000293540
ENSG00000183346	ENSFM00250000009966
ENSG00000006074	ENSFM00500000297563
ENSG00000048545	ENSFM00500000270981
ENSG00000131650	ENSFM00250000004483
ENSG00000186973	ENSFM00500000273843
ENSG00000164038	ENSFM00250000001905
ENSG00000077942	ENSFM00570000851160
ENSG00000006075	ENSFM00500000300273
ENSG00000139318	ENSFM00500000269961
ENSG00000072195	ENSFM00570000851964
ENSG00000129277	ENSFM00500000306545
ENSG00000137770	ENSFM00500000270752
ENSG00000083067	ENSFM00250000000305
ENSG00000117395	ENSFM00500000272030
ENSG00000165832	ENSFM00500000271957
ENSG00000224226	ENSFM00570000851075
ENSG00000100568	ENSFM00250000006099
ENSG00000139323	ENSFM00500000270229
ENSG00000241553	ENSFM00250000003587
ENSG00000107518	ENSFM00250000000720
ENSG00000007516	ENSFM00250000001781
ENSG00000214921	ENSFM00620001002811
ENSG00000109180	ENSFM00500000272374
ENSG00000108309	ENSFM00250000002370
ENSG00000124882	ENSFM00250000009015
ENSG00000084693	ENSFM00250000004430
ENSG00000150347	ENSFM00250000003105
ENSG00000205363	ENSFM00250000009928
ENSG00000167139	ENSFM00250000011748
ENSG00000110243	ENSFM00250000008651
ENSG00000109321	ENSFM00250000008642
ENSG00000102910	ENSFM00250000001712
ENSG00000115415	ENSFM00500000269705
ENSG00000243710	ENSFM00250000004830
ENSG00000078369	ENSFM00250000000545
ENSG00000055332	ENSFM00250000006495
ENSG00000129038	ENSFM00520000517827
ENSG00000111404	ENSFM00500000274246
ENSG00000205595	ENSFM00250000008642
ENSG00000116991	ENSFM00500000269798
ENSG00000204348	ENSFM00500000271793
ENSG00000258466	ENSFM00500000269664
ENSG00000157703	ENSFM00250000002557
ENSG00000214732	ENSFM00570000860781
ENSG00000112599	ENSFM00500000271532
ENSG00000065000	ENSFM00250000001618
ENSG00000067221	ENSFM00250000004488
ENSG00000127080	ENSFM00250000007913
ENSG00000139144	ENSFM00520000517830
ENSG00000124151	ENSFM00250000000875
ENSG00000110244	ENSFM00500000271987
ENSG00000021826	ENSFM00570000850982
ENSG00000146410	ENSFM00250000006143
ENSG00000102034	ENSFM00250000000562
ENSG00000145198	ENSFM00570000851487
ENSG00000212916	ENSFM00250000010819
ENSG00000135778	ENSFM00250000007435
ENSG00000164897	ENSFM00500000273949
ENSG00000182010	ENSFM00250000002100
ENSG00000104885	ENSFM00250000004765
ENSG00000175782	ENSFM00250000007587
ENSG00000226784	ENSFM00250000001043
ENSG00000072042	ENSFM00500000269664
ENSG00000102144	ENSFM00250000000826
ENSG00000144908	ENSFM00550000743150
ENSG00000154556	ENSFM00550000743175
ENSG00000176049	ENSFM00250000001480
ENSG00000100523	ENSFM00250000005122
ENSG00000135749	ENSFM00250000001163
ENSG00000105929	ENSFM00250000000490
ENSG00000110245	ENSFM00600000925000
ENSG00000196976	ENSFM00600000923911
ENSG00000119714	ENSFM00320000100112
ENSG00000118137	ENSFM00470000251509
ENSG00000132357	ENSFM00400000132022
ENSG00000102178	ENSFM00500000273690
ENSG00000239672	ENSFM00250000000895
ENSG00000112936	ENSFM00250000000804
ENSG00000184007	ENSFM00250000001523
ENSG00000128849	ENSFM00560000771112
ENSG00000182196	ENSFM00500000275201
ENSG00000174808	ENSFM00500000274245
ENSG00000258875	ENSFM00640001120096
ENSG00000251695	ENSFM00620001001523
ENSG00000164039	ENSFM00500000272112
ENSG00000135679	ENSFM00500000270168
ENSG00000048544	ENSFM00250000004828
ENSG00000107890	ENSFM00570000851034
ENSG00000256515	ENSFM00550000749776
ENSG00000104886	ENSFM00250000006997
ENSG00000104897	ENSFM00250000005245
ENSG00000124496	ENSFM00630001050645
ENSG00000205020	ENSFM00600000927284
ENSG00000203933	ENSFM00510000502895
ENSG00000130638	ENSFM00250000007503
ENSG00000134595	ENSFM00500000270077
ENSG00000188352	ENSFM00250000004684
ENSG00000203930	ENSFM00300000088853
ENSG00000144591	ENSFM00500000270386
ENSG00000047578	ENSFM00250000003577
ENSG00000212673	ENSFM00500000291286
ENSG00000121774	ENSFM00400000131768
ENSG00000133612	ENSFM00250000000604
ENSG00000184258	ENSFM00600000923635
ENSG00000143674	ENSFM00500000269942
ENSG00000227234	ENSFM00550000762319
ENSG00000235604	ENSFM00550000762319
ENSG00000048392	ENSFM00250000002154
ENSG00000132434	ENSFM00250000002547
ENSG00000135750	ENSFM00600000921306
ENSG00000139874	ENSFM00500000269722
ENSG00000176435	ENSFM00250000010482
ENSG00000205808	ENSFM00250000003664
ENSG00000015133	ENSFM00250000000961
ENSG00000065882	ENSFM00250000001599
ENSG00000151388	ENSFM00570000850995
ENSG00000183780	ENSFM00250000002414
ENSG00000234972	ENSFM00570000851075
ENSG00000184709	ENSFM00500000275076
ENSG00000168275	ENSFM00500000283863
ENSG00000198590	ENSFM00550000744275
ENSG00000059588	ENSFM00250000006577
ENSG00000188064	ENSFM00500000269585
ENSG00000169116	ENSFM00250000008366
ENSG00000139151	ENSFM00270000056433
ENSG00000196562	ENSFM00570000851069
ENSG00000155926	ENSFM00500000271685
ENSG00000165304	ENSFM00470000251483
ENSG00000121775	ENSFM00250000002407
ENSG00000196507	ENSFM00500000272588
ENSG00000168264	ENSFM00580000902219
ENSG00000107485	ENSFM00500000269911
ENSG00000173726	ENSFM00500000272385
ENSG00000104899	ENSFM00600000921621
ENSG00000169181	ENSFM00620000999421
ENSG00000167476	ENSFM00600000922374
ENSG00000104904	ENSFM00500000271529
ENSG00000013306	ENSFM00250000002826
ENSG00000188739	ENSFM00450000242189
ENSG00000182195	ENSFM00500000275348
ENSG00000198573	ENSFM00500000303678
ENSG00000167113	ENSFM00500000271761
ENSG00000011052	ENSFM00250000000895
ENSG00000198021	ENSFM00500000290957
ENSG00000100934	ENSFM00250000002471
ENSG00000259075	ENSFM00250000000147
ENSG00000203926	ENSFM00500000290957
ENSG00000196406	ENSFM00500000302798
ENSG00000257594	ENSFM00250000000147
ENSG00000172465	ENSFM00600000921788
ENSG00000165509	ENSFM00360000109863
ENSG00000070961	ENSFM00250000000445
ENSG00000127564	ENSFM00440000236987
ENSG00000169180	ENSFM00250000004598
ENSG00000138311	ENSFM00250000005396
ENSG00000242384	ENSFM00570000851075
ENSG00000054267	ENSFM00250000001499
ENSG00000176248	ENSFM00250000004724
ENSG00000171495	ENSFM00560000771043
ENSG00000006007	ENSFM00250000004887
ENSG00000164651	ENSFM00500000270028
ENSG00000029363	ENSFM00250000007101
ENSG00000182257	ENSFM00500000292844
ENSG00000123562	ENSFM00250000002633
ENSG00000106993	ENSFM00500000271977
ENSG00000185963	ENSFM00250000002108
ENSG00000250151	ENSFM00250000002679
ENSG00000197182	ENSFM00500000291450
ENSG00000179178	ENSFM00600000922131
ENSG00000183808	ENSFM00500000271894
ENSG00000256349	ENSFM00250000005034
ENSG00000167114	ENSFM00250000000529
ENSG00000186951	ENSFM00250000000390
ENSG00000151892	ENSFM00500000269996
ENSG00000253313	ENSFM00600000924253
ENSG00000138378	ENSFM00500000269705
ENSG00000138068	ENSFM00500000271434
ENSG00000179523	ENSFM00600000927085
ENSG00000163743	ENSFM00250000005042
ENSG00000066056	ENSFM00420000140591
ENSG00000104131	ENSFM00500000272231
ENSG00000174483	ENSFM00250000005034
ENSG00000147853	ENSFM00500000270040
ENSG00000154978	ENSFM00250000008230
ENSG00000205643	ENSFM00500000275413
ENSG00000214021	ENSFM00250000002679
ENSG00000137878	ENSFM00250000007912
ENSG00000130943	ENSFM00500000272441
ENSG00000075234	ENSFM00250000005377
ENSG00000138663	ENSFM00250000005111
ENSG00000214160	ENSFM00250000004284
ENSG00000030582	ENSFM00250000002500
ENSG00000205021	ENSFM00550000749776
ENSG00000104133	ENSFM00250000003914
ENSG00000152904	ENSFM00250000005585
ENSG00000197262	ENSFM00550000759922
ENSG00000144668	ENSFM00500000270234
ENSG00000138080	ENSFM00360000109997
ENSG00000124126	ENSFM00250000001999
ENSG00000116957	ENSFM00500000271551
ENSG00000025800	ENSFM00570000851032
ENSG00000138030	ENSFM00250000004143
ENSG00000156709	ENSFM00250000002966
ENSG00000188322	ENSFM00260000050611
ENSG00000160584	ENSFM00550000743133
ENSG00000218739	ENSFM00500000309878
ENSG00000155495	ENSFM00360000109863
ENSG00000198156	ENSFM00570000851385
ENSG00000115816	ENSFM00250000005486
ENSG00000046774	ENSFM00360000109863
ENSG00000162885	ENSFM00250000007052
ENSG00000024048	ENSFM00250000001259
ENSG00000205609	ENSFM00640001103081
ENSG00000105866	ENSFM00500000269804
ENSG00000144857	ENSFM00250000002137
ENSG00000120158	ENSFM00250000005015
ENSG00000161583	ENSFM00570000851075
ENSG00000125378	ENSFM00500000269724
ENSG00000003509	ENSFM00250000003818
ENSG00000168243	ENSFM00500000282537
ENSG00000117400	ENSFM00250000007415
ENSG00000048740	ENSFM00500000269833
ENSG00000204344	ENSFM00250000007308
ENSG00000189326	ENSFM00500000293041
ENSG00000143669	ENSFM00500000269780
ENSG00000156050	ENSFM00250000007488
ENSG00000161682	ENSFM00500000271019
ENSG00000128641	ENSFM00270000056426
ENSG00000075218	ENSFM00250000009072
ENSG00000005961	ENSFM00500000269717
ENSG00000189252	ENSFM00500000286953
ENSG00000173876	ENSFM00250000000193
ENSG00000172345	ENSFM00500000273097
ENSG00000197651	ENSFM00600000922058
ENSG00000169885	ENSFM00500000274678
ENSG00000100416	ENSFM00250000004103
ENSG00000083782	ENSFM00250000002721
ENSG00000214128	ENSFM00550000744318
ENSG00000179542	ENSFM00250000001398
ENSG00000092208	ENSFM00250000004767
ENSG00000203924	ENSFM00500000309338
ENSG00000178821	ENSFM00250000009419
ENSG00000102069	ENSFM00500000270143
ENSG00000139330	ENSFM00370000118606
ENSG00000163884	ENSFM00500000271813
ENSG00000119723	ENSFM00250000004851
ENSG00000139329	ENSFM00370000118606
ENSG00000068976	ENSFM00250000001172
ENSG00000142609	ENSFM00250000008287
ENSG00000117399	ENSFM00250000001085
ENSG00000163885	ENSFM00500000271871
ENSG00000100526	ENSFM00250000003747
ENSG00000164266	ENSFM00570000857576
ENSG00000188305	ENSFM00250000020773
ENSG00000220008	ENSFM00250000001884
ENSG00000130332	ENSFM00500000275106
ENSG00000066322	ENSFM00500000269750
ENSG00000005206	ENSFM00250000002326
ENSG00000176101	ENSFM00500000275030
ENSG00000221869	ENSFM00600000921679
ENSG00000140464	ENSFM00250000002506
ENSG00000164265	ENSFM00500000288425
ENSG00000105877	ENSFM00540000717908
ENSG00000253729	ENSFM00250000002645
ENSG00000116962	ENSFM00600000921282
ENSG00000164900	ENSFM00500000270638
ENSG00000182645	ENSFM00250000009451
ENSG00000011465	ENSFM00370000118599
ENSG00000145194	ENSFM00250000000269
ENSG00000176058	ENSFM00250000006760
ENSG00000186566	ENSFM00500000271540
ENSG00000124198	ENSFM00250000001560
ENSG00000243678	ENSFM00250000000895
ENSG00000122778	ENSFM00600000921514
ENSG00000180340	ENSFM00250000000221
ENSG00000169213	ENSFM00500000269796
ENSG00000180336	ENSFM00250000008597
ENSG00000162073	ENSFM00250000004822
ENSG00000178776	ENSFM00590000915872
ENSG00000213937	ENSFM00500000269751
ENSG00000154997	ENSFM00350000105408
ENSG00000108278	ENSFM00500000273562
ENSG00000077585	ENSFM00250000002378
ENSG00000203923	ENSFM00500000399507
ENSG00000184697	ENSFM00500000269751
ENSG00000011258	ENSFM00400000131798
ENSG00000188869	ENSFM00500000269946
ENSG00000006327	ENSFM00560000773358
ENSG00000159479	ENSFM00250000004147
ENSG00000203837	ENSFM00500000269793
ENSG00000084652	ENSFM00250000001524
ENSG00000188921	ENSFM00500000273042
ENSG00000103540	ENSFM00250000008628
ENSG00000172987	ENSFM00250000002104
ENSG00000185985	ENSFM00250000001398
ENSG00000133710	ENSFM00570000851642
ENSG00000180329	ENSFM00500000273136
ENSG00000169085	ENSFM00250000010692
ENSG00000161692	ENSFM00500000273854
ENSG00000138028	ENSFM00250000008808
ENSG00000178297	ENSFM00500000269776
ENSG00000086619	ENSFM00250000001828
ENSG00000141140	ENSFM00400000131722
ENSG00000146926	ENSFM00630001050608
ENSG00000104517	ENSFM00250000001931
ENSG00000075275	ENSFM00560000770988
ENSG00000212998	ENSFM00250000020111
ENSG00000164953	ENSFM00250000003813
ENSG00000117862	ENSFM00320000100209
ENSG00000223551	ENSFM00550000746606
ENSG00000167118	ENSFM00550000752121
ENSG00000206530	ENSFM00500000270689
ENSG00000174165	ENSFM00600000921675
ENSG00000103145	ENSFM00500000275094
ENSG00000124207	ENSFM00250000005028
ENSG00000188828	ENSFM00400000131715
ENSG00000090975	ENSFM00500000269931
ENSG00000164399	ENSFM00500000277696
ENSG00000033050	ENSFM00250000000824
ENSG00000160050	ENSFM00500000273048
ENSG00000250254	ENSFM00250000006475
ENSG00000223526	ENSFM00360000109916
ENSG00000099800	ENSFM00500000292498
ENSG00000196355	ENSFM00550000756419
ENSG00000109787	ENSFM00500000272188
ENSG00000176619	ENSFM00250000000425
ENSG00000186197	ENSFM00250000008180
ENSG00000131652	ENSFM00250000005310
ENSG00000178568	ENSFM00410000138465
ENSG00000160051	ENSFM00250000010072
ENSG00000015171	ENSFM00250000003541
ENSG00000119946	ENSFM00250000000938
ENSG00000146858	ENSFM00500000274390
ENSG00000222046	ENSFM00500000287581
ENSG00000115825	ENSFM00250000000930
ENSG00000168066	ENSFM00250000003051
ENSG00000184886	ENSFM00500000273242
ENSG00000116977	ENSFM00500000270411
ENSG00000171855	ENSFM00500000273206
ENSG00000177047	ENSFM00500000270087
ENSG00000137080	ENSFM00500000269650
ENSG00000160055	ENSFM00500000276712
ENSG00000236637	ENSFM00500000269650
ENSG00000011260	ENSFM00250000006515
ENSG00000214042	ENSFM00500000269650
ENSG00000186803	ENSFM00500000269650
ENSG00000145247	ENSFM00500000274958
ENSG00000167123	ENSFM00250000001576
ENSG00000187730	ENSFM00400000131718
ENSG00000148985	ENSFM00570000851540
ENSG00000075240	ENSFM00250000002904
ENSG00000182631	ENSFM00270000056542
ENSG00000164175	ENSFM00500000270588
ENSG00000233232	ENSFM00570000851385
ENSG00000067606	ENSFM00510000502761
ENSG00000005955	ENSFM00250000005756
ENSG00000145287	ENSFM00500000274460
ENSG00000179363	ENSFM00500000292699
ENSG00000147885	ENSFM00500000269650
ENSG00000198198	ENSFM00360000109916
ENSG00000096968	ENSFM00250000000777
ENSG00000181800	ENSFM00250000013853
ENSG00000234829	ENSFM00500000269650
ENSG00000139988	ENSFM00500000269664
ENSG00000123560	ENSFM00250000000909
ENSG00000070476	ENSFM00250000003198
ENSG00000221870	ENSFM00600000929332
ENSG00000100422	ENSFM00250000002466
ENSG00000188603	ENSFM00250000001562
ENSG00000103544	ENSFM00250000002235
ENSG00000164400	ENSFM00500000272962
ENSG00000084623	ENSFM00250000005342
ENSG00000174080	ENSFM00480000262773
ENSG00000124214	ENSFM00250000001250
ENSG00000119285	ENSFM00250000002322
ENSG00000174123	ENSFM00630001050559
ENSG00000073670	ENSFM00410000138484
ENSG00000007520	ENSFM00500000272002
ENSG00000168092	ENSFM00250000004414
ENSG00000105939	ENSFM00500000272610
ENSG00000100528	ENSFM00500000271786
ENSG00000108272	ENSFM00500000270530
ENSG00000033100	ENSFM00250000002081
ENSG00000187325	ENSFM00500000270808
ENSG00000144677	ENSFM00500000269811
ENSG00000129282	ENSFM00500000272776
ENSG00000159650	ENSFM00250000005147
ENSG00000174125	ENSFM00630001050559
ENSG00000162069	ENSFM00500000274141
ENSG00000198885	ENSFM00550000743293
ENSG00000030419	ENSFM00250000000670
ENSG00000173559	ENSFM00250000004294
ENSG00000148429	ENSFM00500000270385
ENSG00000090581	ENSFM00250000006754
ENSG00000051825	ENSFM00250000006480
ENSG00000143994	ENSFM00500000270392
ENSG00000228083	ENSFM00500000269650
ENSG00000242110	ENSFM00250000003332
ENSG00000175535	ENSFM00500000269793
ENSG00000147873	ENSFM00500000269650
ENSG00000082014	ENSFM00250000001625
ENSG00000198642	ENSFM00270000056443
ENSG00000205890	ENSFM00300000088754
ENSG00000054611	ENSFM00250000002359
ENSG00000120235	ENSFM00500000269650
ENSG00000008516	ENSFM00400000131720
ENSG00000135525	ENSFM00250000002902
ENSG00000233816	ENSFM00500000269650
ENSG00000132130	ENSFM00600000921269
ENSG00000077522	ENSFM00440000236866
ENSG00000188379	ENSFM00500000269650
ENSG00000249773	ENSFM00500000273425
ENSG00000120242	ENSFM00500000269650
ENSG00000229474	ENSFM00600000921370
ENSG00000102081	ENSFM00250000000920
ENSG00000187713	ENSFM00500000277640
ENSG00000166710	ENSFM00500000271144
ENSG00000182963	ENSFM00500000270082
ENSG00000108270	ENSFM00250000005016
ENSG00000178665	ENSFM00570000851931
ENSG00000008517	ENSFM00250000010156
ENSG00000178922	ENSFM00250000004985
ENSG00000183615	ENSFM00600000922162
ENSG00000149577	ENSFM00250000002455
ENSG00000132142	ENSFM00260000050407
ENSG00000136758	ENSFM00620000999414
ENSG00000182400	ENSFM00500000271875
ENSG00000188566	ENSFM00620000999419
ENSG00000115828	ENSFM00250000001971
ENSG00000218357	ENSFM00500000502346
ENSG00000219438	ENSFM00600000923171
ENSG00000138073	ENSFM00250000005591
ENSG00000131097	ENSFM00500000293754
ENSG00000108883	ENSFM00250000000291
ENSG00000173198	ENSFM00600000921427
ENSG00000219016	ENSFM00500000448580
ENSG00000257242	ENSFM00630001072249
ENSG00000174130	ENSFM00630001050559
ENSG00000116984	ENSFM00250000003430
ENSG00000124201	ENSFM00570000851270
ENSG00000179300	ENSFM00470000251613
ENSG00000177938	ENSFM00500000274206
ENSG00000180767	ENSFM00500000270627
ENSG00000147145	ENSFM00500000270955
ENSG00000078589	ENSFM00500000271068
ENSG00000182791	ENSFM00250000008941
ENSG00000052126	ENSFM00560000771082
ENSG00000173992	ENSFM00500000272126
ENSG00000183496	ENSFM00250000002403
ENSG00000197712	ENSFM00250000003066
ENSG00000140598	ENSFM00500000270246
ENSG00000135678	ENSFM00250000000555
ENSG00000121152	ENSFM00250000005357
ENSG00000147138	ENSFM00500000271068
ENSG00000142949	ENSFM00500000269598
ENSG00000185880	ENSFM00500000271305
ENSG00000188511	ENSFM00610000953133
ENSG00000173085	ENSFM00250000004418
ENSG00000180697	ENSFM00500000288997
ENSG00000133639	ENSFM00500000270542
ENSG00000078596	ENSFM00500000272738
ENSG00000100425	ENSFM00480000262751
ENSG00000163171	ENSFM00500000273054
ENSG00000105948	ENSFM00250000003350
ENSG00000072121	ENSFM00250000002866
ENSG00000197763	ENSFM00250000000538
ENSG00000108100	ENSFM00250000001383
ENSG00000120210	ENSFM00500000276083
ENSG00000100941	ENSFM00250000004022
ENSG00000163888	ENSFM00500000293824
ENSG00000198626	ENSFM00250000000332
ENSG00000205057	ENSFM00500000304811
ENSG00000257127	ENSFM00500000298502
ENSG00000175166	ENSFM00250000002637
ENSG00000115841	ENSFM00500000271893
ENSG00000120211	ENSFM00250000019937
ENSG00000197919	ENSFM00500000269650
ENSG00000184995	ENSFM00500000278187
ENSG00000107014	ENSFM00500000278121
ENSG00000099810	ENSFM00500000270600
ENSG00000124228	ENSFM00510000502778
ENSG00000188659	ENSFM00570000852026
ENSG00000039537	ENSFM00250000000804
ENSG00000163611	ENSFM00250000007526
ENSG00000059145	ENSFM00250000001954
ENSG00000167131	ENSFM00500000278132
ENSG00000214215	ENSFM00540000718666
ENSG00000185697	ENSFM00250000000873
ENSG00000239306	ENSFM00350000105492
ENSG00000146729	ENSFM00250000003191
ENSG00000144451	ENSFM00250000005915
ENSG00000187510	ENSFM00250000009408
ENSG00000167014	ENSFM00250000011728
ENSG00000197442	ENSFM00260000050412
ENSG00000107018	ENSFM00500000278121
ENSG00000205281	ENSFM00500000274537
ENSG00000206483	ENSFM00300000082063
ENSG00000197978	ENSFM00500000274537
ENSG00000134463	ENSFM00250000004617
ENSG00000121895	ENSFM00250000010767
ENSG00000116996	ENSFM00500000269910
ENSG00000013374	ENSFM00270000056537
ENSG00000100426	ENSFM00500000271721
ENSG00000182858	ENSFM00600000921284
ENSG00000151240	ENSFM00250000000652
ENSG00000173083	ENSFM00250000002104
ENSG00000133019	ENSFM00250000000372
ENSG00000257076	ENSFM00250000006480
ENSG00000197045	ENSFM00500000270656
ENSG00000196092	ENSFM00440000236852
ENSG00000184164	ENSFM00250000002332
ENSG00000214447	ENSFM00250000008986
ENSG00000155816	ENSFM00250000001548
ENSG00000131095	ENSFM00630001050537
ENSG00000111605	ENSFM00600000921459
ENSG00000196843	ENSFM00250000008703
ENSG00000198841	ENSFM00500000276381
ENSG00000099860	ENSFM00500000273654
ENSG00000109182	ENSFM00570000851186
ENSG00000228369	ENSFM00550000754692
ENSG00000072182	ENSFM00250000000608
ENSG00000140263	ENSFM00250000002031
ENSG00000186185	ENSFM00420000140569
ENSG00000184779	ENSFM00500000270232
ENSG00000180875	ENSFM00500000274703
ENSG00000162585	ENSFM00500000277765
ENSG00000107020	ENSFM00500000274177
ENSG00000158445	ENSFM00270000056440
ENSG00000135048	ENSFM00260000050781
ENSG00000131094	ENSFM00500000270217
ENSG00000072858	ENSFM00250000002455
ENSG00000182901	ENSFM00640001103055
ENSG00000172992	ENSFM00500000272373
ENSG00000176533	ENSFM00550000745076
ENSG00000124212	ENSFM00250000001362
ENSG00000134717	ENSFM00500000270103
ENSG00000136448	ENSFM00250000002043
ENSG00000159685	ENSFM00500000273806
ENSG00000255529	ENSFM00250000003460
ENSG00000122145	ENSFM00420000140554
ENSG00000174796	ENSFM00250000010611
ENSG00000174453	ENSFM00560000771238
ENSG00000105694	ENSFM00500000289925
ENSG00000176490	ENSFM00500000270725
ENSG00000130921	ENSFM00500000275099
ENSG00000141873	ENSFM00500000273251
ENSG00000150526	ENSFM00250000002588
ENSG00000198355	ENSFM00460000244934
ENSG00000104969	ENSFM00500000270552
ENSG00000102189	ENSFM00430000230229
ENSG00000159289	ENSFM00600000921309
ENSG00000161714	ENSFM00270000056433
ENSG00000172009	ENSFM00250000001825
ENSG00000158470	ENSFM00560000771038
ENSG00000109790	ENSFM00500000269586
ENSG00000186143	ENSFM00250000010814
ENSG00000214702	ENSFM00250000004036
ENSG00000114982	ENSFM00250000003188
ENSG00000154975	ENSFM00400000131811
ENSG00000163792	ENSFM00500000274017
ENSG00000091483	ENSFM00250000003390
ENSG00000188263	ENSFM00250000010676
ENSG00000157741	ENSFM00250000002538
ENSG00000215749	ENSFM00500000274537
ENSG00000167178	ENSFM00260000051182
ENSG00000205275	ENSFM00250000014036
ENSG00000148426	ENSFM00250000008299
ENSG00000196648	ENSFM00500000274537
ENSG00000138892	ENSFM00250000002679
ENSG00000138376	ENSFM00260000051226
ENSG00000123989	ENSFM00250000002081
ENSG00000248643	ENSFM00350000105447
ENSG00000140279	ENSFM00440000236872
ENSG00000224854	ENSFM00550000770330
ENSG00000117009	ENSFM00250000002621
ENSG00000197818	ENSFM00610000952927
ENSG00000138074	ENSFM00250000000525
ENSG00000082196	ENSFM00500000273855
ENSG00000172006	ENSFM00250000000002
ENSG00000147889	ENSFM00500000272520
ENSG00000157077	ENSFM00250000001785
ENSG00000114554	ENSFM00250000000241
ENSG00000066135	ENSFM00250000000893
ENSG00000120217	ENSFM00500000271431
ENSG00000175073	ENSFM00250000008023
ENSG00000186300	ENSFM00250000000002
ENSG00000100427	ENSFM00250000007537
ENSG00000172000	ENSFM00250000000002
ENSG00000129009	ENSFM00260000051182
ENSG00000175691	ENSFM00250000000002
ENSG00000100532	ENSFM00250000008167
ENSG00000258941	ENSFM00250000002588
ENSG00000188760	ENSFM00250000005654
ENSG00000174792	ENSFM00500000294287
ENSG00000054277	ENSFM00610000952950
ENSG00000126091	ENSFM00500000269867
ENSG00000090382	ENSFM00500000270117
ENSG00000150527	ENSFM00250000002588
ENSG00000134594	ENSFM00500000270315
ENSG00000171970	ENSFM00250000000002
ENSG00000164951	ENSFM00250000002844
ENSG00000173933	ENSFM00350000105447
ENSG00000158480	ENSFM00250000007303
ENSG00000164898	ENSFM00500000276556
ENSG00000203668	ENSFM00250000003190
ENSG00000162843	ENSFM00250000006761
ENSG00000227011	ENSFM00630001052889
ENSG00000141200	ENSFM00250000000916
ENSG00000127337	ENSFM00500000272078
ENSG00000073146	ENSFM00250000001745
ENSG00000141198	ENSFM00500000271764
ENSG00000149591	ENSFM00500000270015
ENSG00000137868	ENSFM00250000005421
ENSG00000112357	ENSFM00500000271012
ENSG00000138061	ENSFM00560000771200
ENSG00000124006	ENSFM00570000852682
ENSG00000119787	ENSFM00250000001436
ENSG00000174371	ENSFM00250000003781
ENSG00000146963	ENSFM00500000270130
ENSG00000111328	ENSFM00500000276906
ENSG00000104953	ENSFM00500000274291
ENSG00000168067	ENSFM00310000089004
ENSG00000174016	ENSFM00250000001547
ENSG00000197646	ENSFM00500000272116
ENSG00000197769	ENSFM00500000274505
ENSG00000180287	ENSFM00250000001612
ENSG00000165288	ENSFM00250000000898
ENSG00000258171	ENSFM00630001072256
ENSG00000124226	ENSFM00500000271468
ENSG00000173598	ENSFM00250000002183
ENSG00000056277	ENSFM00250000001193
ENSG00000181513	ENSFM00500000271932
ENSG00000203301	ENSFM00500000320485
ENSG00000157933	ENSFM00250000001416
ENSG00000154222	ENSFM00250000002037
ENSG00000124216	ENSFM00500000269921
ENSG00000124208	ENSFM00250000001221
ENSG00000143702	ENSFM00570000851210
ENSG00000139697	ENSFM00250000001247
ENSG00000244687	ENSFM00250000001221
ENSG00000144452	ENSFM00570000851012
ENSG00000173914	ENSFM00350000105447
ENSG00000138769	ENSFM00400000131764
ENSG00000166225	ENSFM00250000003196
ENSG00000187260	ENSFM00570000851988
ENSG00000039560	ENSFM00560000771149
ENSG00000240849	ENSFM00250000001221
ENSG00000116151	ENSFM00430000230266
ENSG00000214324	ENSFM00250000020163
ENSG00000163870	ENSFM00250000004872
ENSG00000176542	ENSFM00250000008250
ENSG00000172216	ENSFM00500000275422
ENSG00000166260	ENSFM00500000271707
ENSG00000121579	ENSFM00250000003966
